YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,2,2/1/2021 12:00:00 AM,G4,326NV,2240,LCK,SFB,0959,1001,2.00,0.00,,102.00,767.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,MQ,N231AN,3320,ORD,CLE,1915,1920,5.00,0.00,,53.00,315.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N249NN,3613,DAY,DFW,0600,0554,0.00,0.00,,126.00,861.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N250NN,3413,CLE,ORD,0708,0701,0.00,0.00,,52.00,315.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N259NN,4053,CMH,DFW,0930,0923,0.00,0.00,,136.00,926.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N261NN,3483,CMH,ORD,1150,1149,0.00,0.00,,49.00,296.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N261NN,3483,ORD,CMH,0840,0837,0.00,0.00,,51.00,296.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N263NN,3348,CMH,DFW,1130,1127,0.00,0.00,,131.00,926.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N265NN,3476,CMH,ORD,0700,0659,0.00,0.00,,48.00,296.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N270NN,3518,ORD,CMH,1850,1845,0.00,0.00,,51.00,296.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N271NN,3358,DFW,CMH,1650,1644,0.00,0.00,,131.00,926.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N288NN,4135,DFW,CMH,1450,1447,0.00,0.00,,132.00,926.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N289MW,4022,DFW,DAY,2005,2002,0.00,0.00,,126.00,861.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N290NN,3889,CLE,DFW,1710,1911,121.00,0.00,,,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N290NN,3889,DFW,CLE,1105,1102,0.00,0.00,,139.00,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N298FR,3838,DFW,DAY,1245,1241,0.00,0.00,,118.00,861.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N298FR,3991,DAY,DFW,1653,1655,2.00,0.00,,123.00,861.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N663AR,3798,MIA,CMH,1915,1913,0.00,0.00,,146.00,990.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N673AE,3477,DAY,ORD,0700,0650,0.00,0.00,,43.00,240.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N932AE,3479,ORD,DAY,1915,1912,0.00,0.00,,44.00,240.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N935AE,3775,CMH,MIA,0644,0640,0.00,0.00,,137.00,990.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N939AE,3874,CLE,ORD,1158,1159,1.00,0.00,,55.00,315.00,
2021,1,2,2/1/2021 12:00:00 AM,MQ,N939AE,3874,ORD,CLE,0855,0901,6.00,0.00,,55.00,315.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,NK,N609NK,604,FLL,CLE,0725,0721,0.00,0.00,,137.00,1062.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N609NK,605,CLE,FLL,1105,1102,0.00,0.00,,138.00,1062.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N627NK,178,TPA,CLE,0825,0821,0.00,0.00,,121.00,927.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N627NK,179,CLE,TPA,1759,1808,9.00,0.00,,119.00,927.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N627NK,181,CLE,ATL,1219,1212,0.00,0.00,,84.00,554.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N627NK,182,ATL,CLE,1515,1512,0.00,0.00,,80.00,554.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N631NK,207,FLL,CMH,1810,1805,0.00,0.00,,130.00,973.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N632NK,440,CLE,RSW,0945,0933,0.00,0.00,,128.00,1025.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N634NK,1672,MCO,CMH,1200,1155,0.00,0.00,,107.00,802.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N634NK,1673,CMH,MCO,1510,1506,0.00,0.00,,104.00,802.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N642NK,1069,CLE,LAS,1659,1647,0.00,0.00,,267.00,1824.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N642NK,1168,LAS,CLE,0900,0853,0.00,0.00,,205.00,1824.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N652NK,184,LAX,CLE,1530,1542,12.00,0.00,,228.00,2052.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N652NK,185,CLE,LAX,1225,1223,0.00,0.00,,300.00,2052.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,NK,N652NK,707,MCO,CLE,0916,0913,0.00,0.00,,117.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N653NK,206,CMH,FLL,1357,1355,0.00,0.00,,125.00,973.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N653NK,322,CMH,RSW,0700,0656,0.00,0.00,,126.00,930.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N653NK,323,RSW,CMH,1038,1030,0.00,0.00,,125.00,930.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N656NK,1967,CLE,MCO,1425,1417,0.00,0.00,,118.00,895.00,
2021,1,2,2/1/2021 12:00:00 AM,NK,N656NK,441,RSW,CLE,1051,1041,0.00,0.00,,136.00,1025.00,
