year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,G4,258NV,1610,TOL,PGD,1001,0959,0.00,0.00,,143.00,1016.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,258NV,1668,PGD,TOL,0640,0637,0.00,0.00,,136.00,1016.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,262NV,782,PIE,DAY,1809,1803,0.00,0.00,,118.00,831.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,262NV,787,DAY,PIE,2113,2047,0.00,0.00,,113.00,831.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,311NV,2500,CLE,CHS,1556,1533,0.00,0.00,,90.00,595.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,311NV,2506,CLE,SAV,2107,2040,0.00,0.00,,87.00,641.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,311NV,2511,CHS,CLE,1827,1816,0.00,0.00,,91.00,595.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,311NV,2512,SAV,CLE,1310,1301,0.00,0.00,,93.00,641.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,328NV,2324,LCK,SFB,1542,1542,0.00,0.00,,105.00,767.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,328NV,2331,SFB,LCK,1252,1246,0.00,0.00,,110.00,767.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,335NV,2301,SFB,CLE,0635,0630,0.00,0.00,,115.00,872.00,
2021,1,3,3/1/2021 12:00:00 AM,G4,335NV,2312,CLE,SFB,0942,0930,0.00,0.00,,118.00,872.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N203NN,3518,ORD,CMH,1855,1854,0.00,0.00,,46.00,296.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N209NN,3889,CLE,DFW,1710,1709,0.00,0.00,,176.00,1021.00,
2021,1,3,3/1/2021 12:00:00 AM,MQ,N209NN,3889,DFW,CLE,1105,1108,3.00,0.00,,114.00,1021.00,
