year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,1,1/1/2021 12:00:00 AM,F9,N317FR,2423,CLE,RSW,1015,1005,0.00,0.00,,147.00,1025.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N348FR,1042,MCO,CLE,1615,1607,0.00,0.00,,114.00,895.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N348FR,2015,CLE,LAS,1939,1938,0.00,0.00,,236.00,1824.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N368FR,1045,CLE,MCO,1359,1351,0.00,0.00,,127.00,895.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N368FR,2434,TPA,CLE,1038,1033,0.00,0.00,,112.00,927.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N368FR,2435,CLE,TPA,0710,0709,0.00,0.00,,133.00,927.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N708FR,2414,PHX,CLE,1414,1520,66.00,0.00,,229.00,1737.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,F9,N710FR,2415,CLE,PHX,0801,0750,0.00,0.00,,228.00,1737.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N715FR,1054,MCO,CMH,1349,1341,0.00,0.00,,106.00,802.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N715FR,1055,CMH,MCO,1715,1701,0.00,0.00,,112.00,802.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N232NN,3874,CLE,ORD,1132,1221,49.00,0.00,,67.00,315.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N232NN,3874,ORD,CLE,0835,0829,0.00,0.00,,49.00,315.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N232NN,4175,ORD,CMH,1300,1400,60.00,0.00,,54.00,296.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N235NN,3613,DAY,DFW,0940,0945,5.00,0.00,,136.00,861.00,5.00
2021,1,1,1/1/2021 12:00:00 AM,MQ,N242NN,3838,DAY,DFW,1738,1730,0.00,0.00,,152.00,861.00,
2021,1,1,1/1/2021 12:00:00 AM,MQ,N242NN,3838,DFW,DAY,1240,1236,0.00,0.00,,96.00,861.00,
